imageid,image_path,transfertime,inference_time
60691c14-d9ba-489a-b948-7af9c86918d9,data\input_folder\000000000202.jpg,0.08536410331726074,0.04220151901245117
50d6a554-9613-4688-959b-ac497d1521e9,data\input_folder\000000000205.jpg,0.077789306640625,0.03618264198303223
808cac14-a0a4-4575-aa1f-f3b4a6262602,data\input_folder\000000000212.jpg,0.07423639297485352,0.03678727149963379
4df4c2a9-3610-41ce-8132-e11ce695b69d,data\input_folder\000000000229.jpg,0.07002568244934082,0.0363004207611084
38dbc246-ff8d-43f2-9714-a844cca9294d,data\input_folder\000000000251.jpg,0.0660712718963623,0.035659074783325195
1b15cf75-1e48-487b-9fca-a287c02ee5a1,data\input_folder\000000000275.jpg,0.07088398933410645,0.035041093826293945
0b45b4ce-0355-441d-bd2f-58d278d1fc1d,data\input_folder\000000000276.jpg,0.06840968132019043,0.03397798538208008
cc356639-5ce7-4d87-85d5-d1062adba493,data\input_folder\000000000311.jpg,0.08034372329711914,0.04466390609741211
e4649502-9a02-4886-a69a-9b7fbd8b6bb8,data\input_folder\000000000318.jpg,0.08988571166992188,0.05132341384887695
014f26d6-8f10-4513-a46a-45df9c15f86b,data\input_folder\000000000345.jpg,0.08176994323730469,0.04294133186340332
ebe14e24-87c3-48a5-91fc-b7532c3ac8c7,data\input_folder\000000000408.jpg,0.07067346572875977,0.038042306900024414
b6e4811f-b553-429f-830d-07fc2e3adcba,data\input_folder\000000000416.jpg,0.07108187675476074,0.03833603858947754
c09e2278-7e41-4725-9cfb-3900b2a8361c,data\input_folder\000000000427.jpg,0.06314802169799805,0.036231279373168945
72537577-21b8-4578-b269-2c734e9e1269,data\input_folder\000000000448.jpg,0.06737232208251953,0.03388857841491699
0b7c8236-e06a-4acb-942a-b1f831fda8dc,data\input_folder\000000000453.jpg,0.07741808891296387,0.03591585159301758
58753bea-9405-4f81-8d27-31744efcc5b0,data\input_folder\000000000456.jpg,0.06555724143981934,0.03168296813964844
003ea701-aeb6-4712-9d43-362b16aa502b,data\input_folder\000000000463.jpg,0.07551288604736328,0.03897571563720703
7fbcf8e7-56dd-4141-a7e1-fb11a19da015,data\input_folder\000000000492.jpg,0.07043647766113281,0.04002833366394043
92d6d057-3796-4542-9c1c-50c89c438367,data\input_folder\000000000509.jpg,0.07063698768615723,0.036176443099975586
0067ec28-a9d3-4c72-b4f1-a73e01f6d123,data\input_folder\000000000527.jpg,0.06858372688293457,0.03716421127319336
1381bcc7-221a-44e8-882d-40096c64b4c8,data\input_folder\000000000535.jpg,0.07639408111572266,0.03663897514343262
00ea6e90-62e6-4272-8905-928ebe04b251,data\input_folder\000000000549.jpg,0.07411074638366699,0.03968477249145508
2c419aa5-af9f-4b21-93d6-0997fdc3a56b,data\input_folder\000000000552.jpg,0.07034826278686523,0.03605055809020996
77123c98-aa6a-41d7-b0c6-3d3c517f5e49,data\input_folder\000000000554.jpg,0.06617617607116699,0.03632616996765137
fdf24f5c-593f-40ee-808c-6d8d24df7fb6,data\input_folder\000000000570.jpg,0.09104657173156738,0.04717850685119629
